fechas,valor
27/04/2023,462
26/04/2023,469
25/04/2023,490
24/04/2023,457
21/04/2023,437
20/04/2023,427
19/04/2023,418
18/04/2023,413
17/04/2023,403
14/04/2023,396
13/04/2023,394
12/04/2023,390
11/04/2023,387
10/04/2023,388
05/04/2023,388
04/04/2023,388
03/04/2023,391
31/03/2023,388
30/03/2023,389
29/03/2023,393
28/03/2023,386
28/03/2023,386
27/03/2023,385
23/03/2023,387
22/03/2023,390
21/03/2023,382
20/03/2023,379
17/03/2023,379
16/03/2023,375
15/03/2023,373
14/03/2023,373
13/03/2023,369
10/03/2023,369
09/03/2023,374
08/03/2023,367
07/03/2023,368
06/03/2023,371
03/03/2023,373
02/03/2023,371
01/03/2023,371
28/02/2023,373
27/02/2023,375
24/02/2023,375
23/02/2023,373
22/02/2023,373
17/02/2023,373
16/02/2023,374
15/02/2023,375
14/02/2023,375
13/02/2023,373
10/02/2023,375
09/02/2023,377
07/02/2023,373
06/02/2023,369
03/02/2023,374
02/02/2023,373
01/02/2023,377
31/01/2023,379
30/01/2023,382
27/01/2023,381
26/01/2023,379
25/01/2023,377
24/01/2023,372
23/01/2023,372
20/01/2023,370
19/01/2023,373
18/01/2023,374
17/01/2023,366
16/01/2023,365
13/01/2023,365
12/01/2023,357
11/01/2023,355
10/01/2023,353
09/01/2023,351
06/01/2023,350
05/01/2023,349
04/01/2023,350
03/01/2023,350
02/01/2023,342
30/12/2022,342
29/12/2022,346
28/12/2022,353
27/12/2022,352
26/12/2022,342
23/12/2022,336
22/12/2022,326
21/12/2022,321
20/12/2022,322
19/12/2022,321
16/12/2022,317
15/12/2022,316
14/12/2022,316
13/12/2022,311
12/12/2022,308
07/12/2022,312
06/12/2022,311
05/12/2022,308
02/12/2022,308
01/12/2022,309
30/11/2022,310
29/11/2022,311
28/11/2022,314
25/11/2022,316
24/11/2022,315
23/11/2022,308
22/11/2022,304
18/11/2022,302
18/11/2022,303
18/11/2022,303
17/11/2022,303
16/11/2022,304
15/11/2022,298
14/11/2022,290
11/11/2022,289
10/11/2022,288
09/11/2022,288
08/11/2022,287
07/11/2022,286
04/11/2022,285
03/11/2022,283
02/11/2022,287
01/11/2022,286
31/10/2022,286
28/10/2022,288
27/10/2022,287
26/10/2022,288
25/10/2022,289
24/10/2022,287
21/10/2022,287
20/10/2022,287
19/10/2022,288
18/10/2022,286
17/10/2022,283
14/10/2022,286
13/10/2022,287
12/10/2022,285
11/10/2022,276
06/10/2022,273
05/10/2022,278
04/10/2022,278
03/10/2022,280
30/09/2022,284
29/09/2022,284
28/09/2022,286
27/09/2022,286
26/09/2022,282
23/09/2022,283
22/09/2022,281
22/09/2022,283
21/09/2022,283
20/09/2022,283
19/09/2022,273
16/09/2022,273
15/09/2022,272
14/09/2022,273
13/09/2022,269
12/09/2022,268
09/09/2022,270
08/09/2022,276
07/09/2022,280
06/09/2022,272
05/09/2022,266
02/09/2022,280
01/09/2022,280
31/08/2022,285
30/08/2022,286
29/08/2022,287
26/08/2022,288
25/08/2022,288
24/08/2022,290
23/08/2022,292
22/08/2022,287
19/08/2022,290
18/08/2022,288
17/08/2022,287
16/08/2022,286
12/08/2022,285
11/08/2022,287
10/08/2022,285
09/08/2022,283
08/08/2022,282
05/08/2022,283
04/08/2022,281
03/08/2022,288
02/08/2022,281
01/08/2022,272
29/07/2022,286
28/07/2022,304
27/07/2022,316
26/07/2022,313
25/07/2022,312
22/07/2022,328
21/07/2022,327
20/07/2022,307
19/07/2022,291
18/07/2022,281
15/07/2022,283
14/07/2022,279
13/07/2022,273
12/07/2022,262
11/07/2022,258
08/07/2022,263
07/07/2022,247
06/07/2022,245
05/07/2022,242
04/07/2022,250
01/07/2022,235
30/06/2022,234
29/06/2022,235
28/06/2022,235
27/06/2022,228
24/06/2022,222
23/06/2022,220
22/06/2022,220
21/06/2022,216
16/06/2022,212
15/06/2022,213
14/06/2022,220
13/06/2022,212
10/06/2022,206
09/06/2022,204
08/06/2022,204
07/06/2022,202
06/06/2022,201
03/06/2022,201
02/06/2022,202
01/06/2022,202
31/05/2022,201
30/05/2022,203
